auc,auc_01
0.8291,0.7441
0.5831,0.5615
0.9012,0.8334
0.5376,0.5237
0.9134,0.8084
0.6715,0.6499
0.7311,0.6943
0.6717,0.6298
0.8801,0.8332
0.6081,0.5951
0.6705,0.65
0.8955,0.805
0.7684,0.7119
0.6767,0.6601
0.6435,0.6218
0.4978,0.5319
0.8317,0.7827
0.711,0.6913
0.797,0.7659
0.5622,0.5559
0.9272,0.8957
0.8438,0.8097
0.6816,0.6325
0.7993,0.7045
0.9565,0.9136
0.7883,0.746
0.8882,0.8154
0.4262,0.4856
0.6126,0.5754
0.5919,0.5491
0.6126,0.6658
0.5893,0.5619
0.9045,0.8361
0.4963,0.5097
0.8006,0.7848
0.5313,0.5582
0.6554,0.6227
0.7329,0.7046
1.0,1.0
0.7435,0.6181
0.7309,0.6239
0.7704,0.7275
0.4938,0.5579
0.857,0.7448
0.9993,0.9963
0.5069,0.5468
0.8076,0.7021
1.0,1.0
0.8624,0.8543
0.6347,0.6738
0.7905,0.813
0.5781,0.4954
0.6938,0.6585
0.8376,0.8086
0.6939,0.7172
0.6816,0.7398
0.9079,0.8997
0.6875,0.6816
0.952,0.9316
0.6643,0.5378
0.9086,0.8441
0.4636,0.4737
0.717,0.6722
0.3781,0.4737
0.5227,0.4737
1.0,1.0
0.5857,0.5059
0.7959,0.6617
0.4724,0.5489
0.8153,0.7798
0.4673,0.4737
0.6615,0.4924
0.7527,0.7259
0.7456,0.7322
0.8931,0.883
0.6083,0.4737
0.7686,0.6912
0.8645,0.8086
0.5289,0.5346
0.7537,0.6085
0.42,0.4737
0.614,0.4737
0.174,0.4737
0.6,0.5158
0.262,0.4737
0.652,0.6842
0.748,0.7789
0.748,0.7789
0.682,0.6421
0.3827,0.4737
0.4938,0.5387
0.8889,0.7986
0.2296,0.4737
0.5778,0.5906
0.4,0.4737
0.5901,0.4737
0.5688,0.6217
0.4656,0.4737
0.6406,0.5395
0.8438,0.7697
0.3,0.4737
0.4438,0.4737
0.5375,0.4737
0.4531,0.4737
0.4812,0.5066
0.8906,0.8684
0.4735,0.4737
0.4,0.4737
0.4327,0.4737
0.3551,0.4737
0.7429,0.6133
0.7714,0.7852
0.5551,0.4737
0.3224,0.4737
0.7306,0.6026
0.5714,0.4737
0.5796,0.4737
0.3633,0.4737
0.5429,0.5381
0.8735,0.7852
0.4245,0.4737
0.9429,0.9033
0.5167,0.6491
0.3889,0.4737
0.7111,0.6491
0.8389,0.8246
0.6444,0.4737
0.6389,0.6491
0.1722,0.4737
0.5389,0.4737
0.3222,0.4737
0.5333,0.4737
0.2667,0.4737
0.3611,0.4737
0.8167,0.5906
0.9222,0.9123
0.7889,0.7661
0.5611,0.4737
0.6833,0.6491
0.8444,0.7076
0.3444,0.4737
0.5056,0.4737
0.288,0.4737
0.408,0.4737
0.424,0.4737
0.576,0.4737
0.536,0.6
0.688,0.4737
0.288,0.4737
1.0,1.0
0.816,0.6842
0.496,0.5158
0.424,0.6842
0.96,0.8105
0.424,0.4737
0.616,0.5158
0.984,0.9158
0.592,0.6
0.424,0.4737
0.736,0.7474
0.824,0.6842
0.08,0.4737
0.4,0.4737
0.248,0.4737
1.0,1.0
0.464,0.4737
0.264,0.4737
1.0,1.0
0.576,0.4737
0.696,0.6842
