XGBlsm_AUC,XGBlsm_AUC01,NetTCR_noSim_AUC,NetTCR_noSim_AUC01,NetTCR_rescale_AUC,NetTCR_rescale_AUC01
0.8999,0.8398,0.8961,0.8362,0.8964,0.8361
0.9225,0.8568,0.913,0.8557,0.9159,0.8595
0.7777,0.5891,0.7901,0.5841,0.7952,0.6012
0.7369,0.5567,0.7473,0.5592,0.7527,0.5727
0.9602,0.8846,0.9599,0.8807,0.9606,0.8838
0.7765,0.6202,0.7851,0.6272,0.7896,0.6396
0.7799,0.6699,0.7908,0.6717,0.7957,0.6857
0.8793,0.8177,0.8808,0.8028,0.8832,0.8105
0.9246,0.8368,0.9136,0.8087,0.9172,0.8241
0.9038,0.8085,0.8867,0.7716,0.8995,0.8058
0.8492,0.7287,0.8552,0.6933,0.8677,0.7242
0.8967,0.8093,0.8544,0.7344,0.8742,0.7677
0.8377,0.6803,0.856,0.655,0.8755,0.6948
0.8919,0.7558,0.8645,0.7175,0.886,0.7656
0.9036,0.8338,0.9353,0.8176,0.9392,0.8362
0.87,0.7697,0.8848,0.7632,0.9005,0.7881
0.8116,0.7501,0.8101,0.6916,0.8394,0.7195
0.7978,0.65,0.7826,0.6318,0.8244,0.6793
0.7383,0.6094,0.7794,0.6048,0.7925,0.6354
0.6585,0.5394,0.6964,0.5332,0.6856,0.5254
0.7048,0.5967,0.6814,0.5471,0.7114,0.5767
0.6493,0.5429,0.632,0.5313,0.6478,0.5685
0.8171,0.7539,0.8008,0.7336,0.8108,0.7344
0.8187,0.6648,0.8204,0.6698,0.8352,0.7081
0.8083,0.8193,0.8676,0.7656,0.8758,0.8138
0.7875,0.6965,0.7962,0.6757,0.8106,0.6896
